latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Altánok / posedenie,Vybavenie_Vyhradené parkovanie,Vybavenie_Vonkajší krb,Vybavenie_Pivnica,Vybavenie_Technická miestnosť,Vybavenie_Šatníkové skrine,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Garážové státie,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Sklad,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.4583182,18.9108367,2 izbový byt,119900.0,45.0,1.0,2.0,Kompletná rekonštrukcia,Osobné,Tehlová,2015.0,2.0,Nie,Banská Štiavnica,Banskobystrický kraj,221,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.755339,19.153051,2 izbový byt,149000.0,45.35,1.0,4.0,Kompletná rekonštrukcia,Osobné,Železobetónová,1985.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,65,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,3,0,1
48.45845848,18.89506625,Apartmán,175000.0,48.0,,,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Štiavnica,Banskobystrický kraj,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.449576,18.9086908,Apartmán,163000.0,54.0,,,Kompletná rekonštrukcia,Osobné,,,2.0,Nie,Banská Štiavnica,Banskobystrický kraj,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.560456,19.15417,2 izbový byt,149900.0,65.0,3.0,5.0,Kompletná rekonštrukcia,Osobné,Panelová,1980.0,2.0,Nie,Zvolen,Banskobystrický kraj,77,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,3,0,1
48.736277,19.1461917,2 izbový byt,195000.0,76.0,1.0,4.0,Kompletná rekonštrukcia,Osobné,,1900.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,172,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.4583182,18.9108367,2 izbový byt,119900.0,45.0,1.0,2.0,Kompletná rekonštrukcia,Osobné,Tehlová,2015.0,2.0,Nie,Banská Štiavnica,Banskobystrický kraj,221,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.755339,19.153051,2 izbový byt,149000.0,45.35,1.0,4.0,Kompletná rekonštrukcia,Osobné,Železobetónová,1985.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,65,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,3,0,1
48.45845848,18.89506625,Apartmán,175000.0,48.0,,,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Štiavnica,Banskobystrický kraj,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.449576,18.9086908,Apartmán,163000.0,54.0,,,Kompletná rekonštrukcia,Osobné,,,2.0,Nie,Banská Štiavnica,Banskobystrický kraj,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.560456,19.15417,2 izbový byt,149900.0,65.0,3.0,5.0,Kompletná rekonštrukcia,Osobné,Panelová,1980.0,2.0,Nie,Zvolen,Banskobystrický kraj,77,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,3,0,1
48.736277,19.1461917,2 izbový byt,195000.0,76.0,1.0,4.0,Kompletná rekonštrukcia,Osobné,,1900.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,172,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.736277,19.1461917,5 a viac izbový byt,439900.0,129.17,2.0,3.0,Vo výstavbe,Osobné,Železobetónová,2025.0,5.0,Nie,Banská Bystrica,Banskobystrický kraj,210,136,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,4,1,0
48.736277,19.1461917,4 izbový byt,359900.0,102.91,1.0,3.0,Vo výstavbe,Osobné,Železobetónová,2026.0,4.0,Nie,Banská Bystrica,Banskobystrický kraj,356,282,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,4,4,1,0
48.736277,19.1461917,2 izbový byt,224900.0,62.33,1.0,3.0,Vo výstavbe,Osobné,Železobetónová,2025.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,210,136,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,4,1,0
