latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Sklad,Vybavenie_Vyhradené parkovanie,Vybavenie_Pivnica,Vybavenie_Šatníkové skrine,Vybavenie_Technická miestnosť,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Garážové státie,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.735614,19.143458,1 izbový byt,650.0,45.0,3.0,3.0,Kompletná rekonštrukcia,Osobné,Tehlová,2024.0,1.0,Áno,Banská Bystrica,Banskobystrický kraj,66,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1
48.74067,19.129559,1 izbový byt,500.0,33.0,6.0,6.0,Kompletná rekonštrukcia,Osobné,Panelová,1989.0,1.0,Áno,Banská Bystrica,Banskobystrický kraj,72,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,1
48.448467,18.906102,1 izbový byt,500.0,38.24,3.0,5.0,Kompletná rekonštrukcia,,Panelová,1981.0,,Áno,Banská Štiavnica,Banskobystrický kraj,105,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.735614,19.143458,1 izbový byt,650.0,45.0,3.0,3.0,Kompletná rekonštrukcia,Osobné,Tehlová,2024.0,1.0,Áno,Banská Bystrica,Banskobystrický kraj,66,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1
48.74067,19.129559,1 izbový byt,500.0,33.0,6.0,6.0,Kompletná rekonštrukcia,Osobné,Panelová,1989.0,1.0,Áno,Banská Bystrica,Banskobystrický kraj,72,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,1
48.448467,18.906102,1 izbový byt,500.0,38.24,3.0,5.0,Kompletná rekonštrukcia,,Panelová,1981.0,,Áno,Banská Štiavnica,Banskobystrický kraj,105,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.713347,19.129493,3 izbový byt,750.0,85.79,3.0,5.0,Kompletná rekonštrukcia,,Panelová,1988.0,,Nie,Banská Bystrica,Banskobystrický kraj,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.7155792,19.1322293,1 izbový byt,490.0,41.0,2.0,,Čiastočná rekonštrukcia,Osobné,Panelová,,,Áno,Banská Bystrica,Banskobystrický kraj,65,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,0,1
48.42021767,18.64204769,3 izbový byt,500.0,64.0,1.0,3.0,Kompletná rekonštrukcia,Osobné,Tehlová,1967.0,3.0,Nie,Nová Baňa,Banskobystrický kraj,119,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.38246377,20.01464367,1 izbový byt,370.0,41.0,2.0,,Kompletná rekonštrukcia,Iné,,,,Nie,Rimavská Sobota,Banskobystrický kraj,65,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,1
48.6682906,19.1469394,2 izbový byt,750.0,50.0,,,Kompletná rekonštrukcia,Osobné,,,2.0,Áno,Vlkanová,Banskobystrický kraj,130,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.7312667,19.1583707,1 izbový byt,550.0,31.53,,,Čiastočná rekonštrukcia,Osobné,,,1.0,Áno,Banská Bystrica,Banskobystrický kraj,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
48.7461555,19.1416131,2 izbový byt,800.0,70.22,,,Novostavba,Osobné,,,2.0,Áno,Banská Bystrica,Banskobystrický kraj,77,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.5804231,19.1095801,4 izbový byt,650.0,73.37,,,Čiastočná rekonštrukcia,Osobné,,,4.0,Áno,Zvolen,Banskobystrický kraj,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
48.736277,19.1461917,1 izbový byt,580.0,42.08,,,Čiastočná rekonštrukcia,Osobné,,,1.0,Áno,Banská Bystrica,Banskobystrický kraj,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
48.7238912,19.1222061,2 izbový byt,680.0,50.4,,,Čiastočná rekonštrukcia,Osobné,,,2.0,Áno,Banská Bystrica,Banskobystrický kraj,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
48.7133466,19.1294929,Garsónka,430.0,21.64,,,Čiastočná rekonštrukcia,Osobné,,,1.0,Áno,Banská Bystrica,Banskobystrický kraj,270,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
48.72348901,19.13324012,2 izbový byt,600.0,63.0,2.0,7.0,Čiastočná rekonštrukcia,Osobné,Panelová,1977.0,,Nie,Banská Bystrica,Banskobystrický kraj,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
48.7212738,19.1366027,3 izbový byt,750.0,74.67,7.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,74,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,1
48.7333131,19.152563,3 izbový byt,660.0,80.0,2.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,112,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
48.6634876,19.1270892,2 izbový byt,650.0,61.0,2.0,2.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Badín,Banskobystrický kraj,441,376,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,0,1
48.7402957,19.1052411,2 izbový byt,580.0,60.0,1.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,475,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
48.5814362,19.1288163,2 izbový byt,750.0,65.0,,,Novostavba,Osobné,,,2.0,Áno,Zvolen,Banskobystrický kraj,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.7201987,19.122776,3 izbový byt,700.0,62.93,4.0,,Kompletná rekonštrukcia,Osobné,,,3.0,Nie,Banská Bystrica,Banskobystrický kraj,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.7539839,19.1598596,1 izbový byt,450.0,30.0,6.0,9.0,Čiastočná rekonštrukcia,Osobné,Panelová,1980.0,,Áno,Banská Bystrica,Banskobystrický kraj,81,15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1
48.45,18.9167,1 izbový byt,450.0,38.0,1.0,,Kompletná rekonštrukcia,Osobné,Panelová,1900.0,1.0,Áno,Banská Štiavnica,Banskobystrický kraj,66,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,1
48.45809174,18.89884186,4 izbový byt,460.0,80.0,,,Čiastočná rekonštrukcia,Firemné,,,,Nie,Banská Štiavnica,Banskobystrický kraj,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
48.737984,19.153407,2 izbový byt,650.0,50.0,2.0,4.0,Kompletná rekonštrukcia,Osobné,Tehlová,1970.0,2.0,Áno,Banská Bystrica,Banskobystrický kraj,70,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,3,0,1
48.8041353,19.6450973,3 izbový byt,1250.0,123.38,3.0,,Kompletná rekonštrukcia,Firemné,Zmiešaná,1950.0,3.0,Nie,Brezno,Banskobystrický kraj,67,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,3,0,1
48.736277,19.1461917,2 izbový byt,900.0,71.0,2.0,,Novostavba,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.715579,19.132229,1 izbový byt,450.0,25.0,3.0,6.0,Kompletná rekonštrukcia,Osobné,Tehlová,1978.0,,Áno,Banská Bystrica,Banskobystrický kraj,67,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,1
48.209301,19.355223,3 izbový byt,600.0,73.0,1.0,8.0,Kompletná rekonštrukcia,Osobné,Panelová,1992.0,,Nie,Veľký Krtíš,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1
48.57718,19.126086,3 izbový byt,990.0,95.0,1.0,2.0,Kompletná rekonštrukcia,,Tehlová,1903.0,,Nie,Zvolen,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,1
48.74533044,19.22602794,2 izbový byt,500.0,51.21,4.0,4.0,Kompletná rekonštrukcia,Osobné,Panelová,,2.0,Nie,Banská Bystrica,Banskobystrický kraj,88,21,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3,0,1
48.7376949,19.162094,2 izbový byt,690.0,63.0,,,Kompletná rekonštrukcia,Osobné,,,2.0,Áno,Banská Bystrica,Banskobystrický kraj,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.736277,19.1461917,2 izbový byt,770.0,52.0,,,Novostavba,Osobné,,,2.0,Áno,Banská Bystrica,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.7382158,19.1386899,3 izbový byt,670.0,56.0,3.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.7203436,19.1357911,3 izbový byt,750.0,75.0,7.0,8.0,Čiastočná rekonštrukcia,Osobné,Panelová,,3.0,Áno,Banská Bystrica,Banskobystrický kraj,70,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,2,0,1
